index,Trash_Route,Total_Missed
0,0,670
1,1201,153
2,1202,85
3,1202S,3
4,1203,65
5,1204,56
6,1205,34
7,1301,228
8,1302,163
9,1302S,27
10,1303,240
11,1303S,4
12,1304,219
13,1305,82
14,1308,42
15,1309,43
16,1401,56
17,1402,105
18,1403,59
19,1404,69
20,1405,36
21,1501,137
22,1502,104
23,1502S,1
24,1503,140
25,1504,115
26,1504S,5
27,1505,77
28,1507,13
29,2201,89
30,2202,56
31,2203,183
32,2204,105
33,2205,114
34,2206,82
35,2207,15
36,2301,65
37,2301S,6
38,2302,59
39,2303,138
40,2303S,20
41,2304,51
42,2304S,25
43,2305,184
44,2305S,42
45,2306,31
46,2308,63
47,2401,106
48,2402,38
49,2402S,4
50,2403,111
51,2404,64
52,2405,189
53,2405S,3
54,2408,35
55,2501,76
56,2502,68
57,2503,61
58,2504,70
59,2505,182
60,2505S,2
61,2506,48
62,2509,66
63,3201,214
64,3202,193
65,3203,212
66,3204,163
67,3205,102
68,3206,29
69,3207,122
70,3208,92
71,3212,111
72,3214,137
73,3301,159
74,3301S,4
75,3302,270
76,3302S,21
77,3303,186
78,3303S,2
79,3304,139
80,3304S,42
81,3305,217
82,3305S,13
83,3306,87
84,3307,91
85,3312,81
86,3314,107
87,3401,128
88,3402,84
89,3402S,14
90,3403,128
91,3404,94
92,3405,88
93,3406,22
94,3407,15
95,3411,4
96,3412,185
97,3414,101
98,3501,105
99,3502,136
100,3503,180
101,3504,123
102,3505,58
103,3512,87
104,3514,73
105,4201,76
106,4201S,2
107,4202,151
108,4203,192
109,4203S,39
110,4204,154
111,4205,61
112,4209,19
113,4210,28
114,4301,74
115,4302,144
116,4303,190
117,4304,204
118,4305,105
119,4305S,5
120,4310,32
121,4401,70
122,4402,98
123,4402S,3
124,4403,158
125,4404,240
126,4405,99
127,4406,50
128,4407,55
129,4409,63
130,4410,35
131,4501,66
132,4502,154
133,4503,124
134,4504,307
135,4504S,2
136,4505,79
137,4506,25
138,4507,67
139,4508,33
140,4510,153
141,9201,122
142,9202,51
143,9203,186
144,9204,33
145,9205,124
146,9206,31
147,9207,69
148,9208,194
149,9301,35
150,9302,73
151,9303,222
152,9304,41
153,9305,9
154,9306,37
155,9307,89
156,9308,87
157,9401,83
158,9402,92
159,9403,124
160,9404,89
161,9405,24
162,9406,48
163,9407,119
164,9408,99
165,9501,26
166,9502,65
167,9503,151
168,9504,36
169,9505,49
170,9506,58
171,9507,66
172,9508,98
